videoId,title,publishDate,description,viewCount,likeCount,dislikeCount,commentCount
lG4VkPoG3ko,The medical test paradox: Can redesigning Bayes rule help?,2020-12-22 17:42:00,"About Likelihood Ratios, also sometimes called Bayes Factors*.",467462,28056,184,1986
b3NxrZOu_CE,"Hamming codes part 2, the elegance of it all",2020-09-04 15:36:24,Part 1: https://youtu.be/X8jsijhllIA,401937,21380,99,1311
X8jsijhllIA,Hamming codes and error correction,2020-09-04 15:32:50,A discovery-oriented introduction to error correction codes.,681626,33449,197,1408
mH0oCDa74tE,"Group theory and the 196,883-dimensional monster",2020-08-19 14:01:39,"An introduction to group theory, and the monster group.",1319809,69545,662,4374
wTJI_WuZSwE,The impossible chessboard puzzle,2020-07-05 18:50:36,An information puzzle with an interesting twist,725076,25560,468,1751
QvuQH4_05LI,Tips to be a better problem solver [Last lecture] | Lockdown math ep. 10,2020-05-22 20:14:56,"Tips on problem-solving, with examples from geometry, trig, and probability.",404540,14105,112,805
pq9LcwC7CoY,Intuition for i to the power i | Lockdown math ep. 9,2020-05-15 21:23:19,"i^i, visualized and explained.",256077,6574,98,632
D__UaR5MQao,The DP-3T algorithm for contact tracing (via Nicky Case),2020-05-14 15:00:01,"Though many contact tracing apps involve location tracking, they don’t have to.",302379,21809,430,1618
elQVZLLiod4,The power tower puzzle | Lockdown math ep. 8,2020-05-12 19:59:48,A fun puzzle stemming from repeated exponentiation.,416793,11907,136,944
4PDoT7jtxmw,"What makes the natural log ""natural""? | Lockdown math ep. 7",2020-05-08 20:22:12,All about ln(x).,473946,12118,171,979
cEvgcoyZvB4,Logarithm Fundamentals | Lockdown math ep. 6,2020-05-05 20:36:51,Back to the basics with logarithms.,332942,9315,132,625
IAEASE5GjdI,Imaginary interest rates | Lockdown math ep. 5,2020-05-01 20:11:37,"Compound interest, e, and how it relates to circles.",321500,9647,121,756
ZxYOEwM6Wbk,What is Euler's formula actually saying? | Lockdown math ep. 4,2020-04-28 19:58:20,What does it mean to compute e^{pi i}?,439491,15376,141,1339
5PcpBw5Hbwo,Complex number fundamentals | Lockdown math ep. 3,2020-04-24 20:31:26,Intro to the geometry complex numbers.,771907,19390,393,1516
yBw67Fb31Cs,Trigonometry fundamentals | Lockdown math ep. 2,2020-04-21 20:51:44,Intro to trig with a lurking mystery about cos(x)^2,592541,19486,172,1101
MHXO86wKeDY,The simpler quadratic formula | Lockdown math ep. 1,2020-04-17 20:04:24,Another view on the quadratic formula.,795554,34881,301,2064
ppWPuXsnf1Q,Lockdown math announcement,2020-04-16 21:25:09,Full playlist: https://www.youtube.com/playlist?list=PLZHQObOWTQDP5CVelJJ1bNDouqrAhVPev,656073,45238,225,2642
